Specimen properties : Specimen label,"orgn_80_NA_2_wblk_3ptbnd_run5"
Maximum Load : Flexure extension at Maximum Load,"1.59323",in
Maximum Load : Maximum Load,"127.53469",lbf

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.82307","15.03328"
"0.10000","0.82360","14.76573"
"0.20000","0.82380","14.70061"
"0.30000","0.82387","14.47267"
"0.40000","0.82390","14.90126"
"0.50000","0.82393","14.43658"
"0.60000","0.82397","14.79917"
"0.70000","0.82403","14.78949"
"0.80000","0.82411","15.00951"
"0.90000","0.82420","14.91446"
"1.00000","0.82432","14.48411"
"1.10000","0.82445","14.75693"
"1.20000","0.82457","14.92414"
"1.30000","0.82470","14.98839"
"1.40000","0.82484","14.65132"
"1.50000","0.82498","15.13800"
"1.60000","0.82511","14.64956"
"1.70000","0.82526","14.97871"
"1.80000","0.82537","14.91887"
"1.90000","0.82550","14.74109"
"2.00000","0.82564","14.80710"
"2.10000","0.82577","14.55892"
"2.20000","0.82590","14.58708"
"2.30000","0.82603","14.74901"
"2.40000","0.82615","14.66364"
"2.50000","0.82629","14.17608"
"2.60000","0.82642","14.68741"
"2.70000","0.82655","14.70765"
"2.80000","0.82668","14.77013"
"2.90000","0.82682","14.77629"
"3.00000","0.82694","15.08608"
"3.10000","0.82709","14.54044"
"3.20000","0.82721","14.76045"
"3.30000","0.82734","14.73581"
"3.40000","0.82748","14.86870"
"3.50000","0.82761","14.96815"
"3.60000","0.82775","14.94263"
"3.70000","0.82788","14.78333"
"3.80000","0.82801","15.13448"
"3.90000","0.82814","14.84582"
"4.00000","0.82827","15.08784"
"4.10000","0.82840","14.77629"
"4.20000","0.82852","14.90743"
"4.30000","0.82866","14.78861"
"4.40000","0.82879","15.24889"
"4.50000","0.82891","15.49179"
"4.60000","0.82905","14.95407"
"4.70000","0.82917","14.85374"
"4.80000","0.82931","15.31490"
"4.90000","0.82945","15.07904"
"5.00000","0.82958","14.61172"
"5.10000","0.82971","14.76837"
"5.20000","0.82985","15.37386"
"5.30000","0.82998","14.99279"
"5.40000","0.83011","15.20137"
"5.50000","0.83025","15.25857"
"5.60000","0.83037","15.39674"
"5.70000","0.83050","15.13360"
"5.80000","0.83063","15.08344"
"5.90000","0.83075","14.83526"
"6.00000","0.83089","15.19521"
"6.10000","0.83101","15.37298"
"6.20000","0.83115","15.23305"
"6.30000","0.83128","14.85374"
"6.40000","0.83142","15.64757"
"6.50000","0.83154","15.47771"
"6.60000","0.83167","15.61940"
"6.70000","0.83182","14.78509"
"6.80000","0.83194","15.07376"
"6.90000","0.83209","15.55428"
"7.00000","0.83221","15.09048"
"7.10000","0.83234","15.30258"
"7.20000","0.83248","15.38442"
"7.30000","0.83260","15.33074"
"7.40000","0.83274","15.13008"
"7.50000","0.83286","15.27705"
"7.60000","0.83299","15.61676"
"7.70000","0.83312","15.29202"
"7.80000","0.83325","14.93559"
"7.90000","0.83338","14.96111"
"8.00000","0.83351","15.43723"
"8.10000","0.83365","15.56044"
"8.20000","0.83378","15.34130"
"8.30000","0.83392","15.50676"
"8.40000","0.83405","15.27001"
"8.50000","0.83417","15.34306"
"8.60000","0.83431","15.13976"
"8.70000","0.83444","15.83590"
"8.80000","0.83458","15.51996"
"8.90000","0.83471","15.47595"
"9.00000","0.83484","15.56484"
"9.10000","0.83496","15.38090"
"9.20000","0.83509","15.57364"
"9.30000","0.83522","15.45219"
"9.40000","0.83534","15.68717"
"9.50000","0.83548","15.97407"
"9.60000","0.83561","15.80510"
"9.70000","0.83573","15.70301"
"9.80000","0.83588","15.89927"
"9.90000","0.83600","15.58068"
"10.00000","0.83614","15.98023"
"10.10000","0.83628","15.40466"
"10.20000","0.83641","15.63965"
"10.30000","0.83654","15.90015"
"10.40000","0.83668","15.68013"
"10.50000","0.83680","15.45219"
"10.60000","0.83693","15.54812"
"10.70000","0.83707","16.05856"
"10.80000","0.83719","16.01895"
"10.90000","0.83732","16.05416"
"11.00000","0.83745","15.65813"
"11.10000","0.83757","15.70477"
"11.20000","0.83771","15.68101"
"11.30000","0.83783","16.12808"
"11.40000","0.83797","15.81214"
"11.50000","0.83811","15.76814"
"11.60000","0.83825","16.05680"
"11.70000","0.83837","15.97583"
"11.80000","0.83852","15.79190"
"11.90000","0.83864","16.11136"
"12.00000","0.83877","15.85878"
"12.10000","0.83891","15.94767"
"12.20000","0.83904","15.92743"
"12.30000","0.83917","15.82270"
"12.40000","0.83930","15.83414"
"12.50000","0.83942","16.03216"
"12.60000","0.83955","16.09816"
"12.70000","0.83968","16.35866"
"12.80000","0.83981","16.12281"
"12.90000","0.83994","15.49443"
"13.00000","0.84007","15.74525"
"13.10000","0.84021","15.91687"
"13.20000","0.84034","16.10696"
"13.30000","0.84048","16.06912"
"13.40000","0.84060","15.97671"
"13.50000","0.84074","16.06472"
"13.60000","0.84088","16.38595"
"13.70000","0.84101","15.82886"
"13.80000","0.84114","16.01807"
"13.90000","0.84127","16.01983"
"14.00000","0.84140","16.18705"
"14.10000","0.84152","16.29970"
"14.20000","0.84166","16.40179"
"14.30000","0.84178","16.15977"
"14.40000","0.84190","15.91863"
"14.50000","0.84205","16.21785"
"14.60000","0.84217","15.66429"
"14.70000","0.84230","16.22401"
"14.80000","0.84243","16.44491"
"14.90000","0.84256","15.66077"
"15.00000","0.84271","16.04096"
"15.10000","0.84283","16.34458"
"15.20000","0.84297","15.89838"
"15.30000","0.84310","16.50652"
"15.40000","0.84324","16.63677"
"15.50000","0.84336","16.41939"
"15.60000","0.84350","16.64205"
"15.70000","0.84363","16.53116"
"15.80000","0.84374","16.32698"
"15.90000","0.84389","16.38683"
"16.00000","0.84401","16.50299"
"16.10000","0.84412","16.49947"
"16.20000","0.84427","16.79606"
"16.30000","0.84440","16.44931"
"16.40000","0.84454","16.23721"
"16.50000","0.84467","16.83302"
"16.60000","0.84480","16.41411"
"16.70000","0.84493","16.42291"
"16.80000","0.84508","16.73446"
"16.90000","0.84520","16.79166"
"17.00000","0.84534","16.40531"
"17.10000","0.84547","16.71157"
"17.20000","0.84559","16.60772"
"17.30000","0.84573","16.14305"
"17.40000","0.84586","16.84182"
"17.50000","0.84599","16.56900"
"17.60000","0.84611","16.86735"
"17.70000","0.84624","16.32522"
"17.80000","0.84637","17.11993"
"17.90000","0.84650","16.88759"
"18.00000","0.84664","16.69837"
"18.10000","0.84676","16.23809"
"18.20000","0.84691","16.82510"
"18.30000","0.84703","16.52324"
"18.40000","0.84715","16.80486"
"18.50000","0.84730","16.64029"
"18.60000","0.84742","16.83566"
"18.70000","0.84756","16.34370"
"18.80000","0.84770","16.52676"
"18.90000","0.84783","17.13753"
"19.00000","0.84795","16.88143"
"19.10000","0.84808","16.82334"
"19.20000","0.84821","16.55580"
"19.30000","0.84834","16.61565"
"19.40000","0.84848","16.67285"
"19.50000","0.84860","16.63853"
"19.60000","0.84873","16.78550"
"19.70000","0.84887","16.80662"
"19.80000","0.84899","17.54148"
"19.90000","0.84913","17.00728"
"20.00000","0.84926","16.63589"
"20.10000","0.84940","16.96063"
"20.20000","0.84954","17.36371"
"20.30000","0.84966","16.87175"
"20.40000","0.84979","16.83566"
"20.50000","0.84992","17.31530"
"20.60000","0.85006","17.38307"
"20.70000","0.85018","16.93599"
"20.80000","0.85032","16.85414"
"20.90000","0.85044","17.20265"
"21.00000","0.85056","16.76262"
"21.10000","0.85071","17.19297"
"21.20000","0.85083","17.01784"
"21.30000","0.85095","17.14369"
"21.40000","0.85109","17.29066"
"21.50000","0.85123","17.29506"
"21.60000","0.85137","17.31178"
"21.70000","0.85150","17.39011"
"21.80000","0.85163","17.42003"
"21.90000","0.85176","17.18417"
"22.00000","0.85190","16.85590"
"22.10000","0.85203","17.36371"
"22.20000","0.85215","17.69109"
"22.30000","0.85229","17.39363"
"22.40000","0.85242","17.23434"
"22.50000","0.85255","17.64973"
"22.60000","0.85268","16.89551"
"22.70000","0.85281","17.64005"
"22.80000","0.85293","16.96063"
"22.90000","0.85306","17.33730"
"23.00000","0.85320","17.32322"
"23.10000","0.85333","17.20705"
"23.20000","0.85347","17.40507"
"23.30000","0.85359","17.44907"
"23.40000","0.85373","17.39451"
"23.50000","0.85386","17.80726"
"23.60000","0.85399","17.38747"
"23.70000","0.85413","17.22466"
"23.80000","0.85425","17.82486"
"23.90000","0.85439","17.46403"
"24.00000","0.85452","17.45523"
"24.10000","0.85464","17.73334"
"24.20000","0.85477","17.80814"
"24.30000","0.85490","17.58549"
"24.40000","0.85503","17.72366"
"24.50000","0.85516","17.65677"
"24.60000","0.85530","17.24930"
"24.70000","0.85543","17.52828"
"24.80000","0.85556","17.74390"
"24.90000","0.85570","17.60925"
"25.00000","0.85583","17.60396"
"25.10000","0.85597","17.52300"
"25.20000","0.85610","18.10473"
"25.30000","0.85624","17.64621"
"25.40000","0.85637","18.00440"
"25.50000","0.85650","17.63125"
"25.60000","0.85662","17.88207"
"25.70000","0.85674","17.71397"
"25.80000","0.85688","17.75446"
"25.90000","0.85700","17.81430"
"26.00000","0.85713","17.69461"
"26.10000","0.85727","17.68229"
"26.20000","0.85739","17.94103"
"26.30000","0.85753","17.97184"
"26.40000","0.85766","17.61981"
"26.50000","0.85779","17.63917"
