Specimen properties : Specimen label,"orgn_80_NA_2_wblk_3ptbnd_run2"
Maximum Load : Flexure extension at Maximum Load,"1.56568",in
Maximum Load : Maximum Load,"127.62533",lbf

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.76875","15.11248"
"0.10000","0.76928","14.57740"
"0.20000","0.76947","14.79917"
"0.30000","0.76953","14.38202"
"0.40000","0.76957","14.81326"
"0.50000","0.76960","14.43131"
"0.60000","0.76965","14.71733"
"0.70000","0.76971","14.63196"
"0.80000","0.76979","14.40314"
"0.90000","0.76989","14.25353"
"1.00000","0.77000","14.60820"
"1.10000","0.77014","14.36970"
"1.20000","0.77025","14.50523"
"1.30000","0.77039","14.56860"
"1.40000","0.77052","14.64604"
"1.50000","0.77066","14.63196"
"1.60000","0.77080","14.61524"
"1.70000","0.77094","14.50787"
"1.80000","0.77106","14.79653"
"1.90000","0.77119","14.56332"
"2.00000","0.77133","14.56596"
"2.10000","0.77145","14.49995"
"2.20000","0.77159","14.38818"
"2.30000","0.77171","14.14440"
"2.40000","0.77183","14.80886"
"2.50000","0.77197","14.44011"
"2.60000","0.77210","14.40138"
"2.70000","0.77223","15.10104"
"2.80000","0.77237","14.81326"
"2.90000","0.77251","14.58884"
"3.00000","0.77264","14.87662"
"3.10000","0.77278","14.25441"
"3.20000","0.77290","14.53427"
"3.30000","0.77303","14.64692"
"3.40000","0.77317","14.42603"
"3.50000","0.77330","14.62316"
"3.60000","0.77343","14.85198"
"3.70000","0.77356","14.60644"
"3.80000","0.77368","14.66012"
"3.90000","0.77382","14.29929"
"4.00000","0.77395","14.44538"
"4.10000","0.77407","14.58004"
"4.20000","0.77420","14.38290"
"4.30000","0.77433","14.74021"
"4.40000","0.77447","14.45595"
"4.50000","0.77461","14.80886"
"4.60000","0.77474","14.72261"
"4.70000","0.77486","14.70853"
"4.80000","0.77501","14.88542"
"4.90000","0.77514","14.75517"
"5.00000","0.77527","15.34130"
"5.10000","0.77540","14.39082"
"5.20000","0.77552","14.51931"
"5.30000","0.77566","14.75077"
"5.40000","0.77579","14.61348"
"5.50000","0.77592","14.79125"
"5.60000","0.77604","14.73669"
"5.70000","0.77617","14.71469"
"5.80000","0.77631","14.33098"
"5.90000","0.77643","14.84934"
"6.00000","0.77657","15.11160"
"6.10000","0.77670","14.31865"
"6.20000","0.77682","14.43131"
"6.30000","0.77697","14.66452"
"6.40000","0.77709","14.84934"
"6.50000","0.77723","14.96375"
"6.60000","0.77736","14.71469"
"6.70000","0.77750","15.05616"
"6.80000","0.77763","14.95583"
"6.90000","0.77777","14.99543"
"7.00000","0.77789","15.08256"
"7.10000","0.77801","14.70325"
"7.20000","0.77815","15.12920"
"7.30000","0.77827","15.33690"
"7.40000","0.77841","14.75341"
"7.50000","0.77854","14.64956"
"7.60000","0.77866","14.81238"
"7.70000","0.77880","15.07640"
"7.80000","0.77893","14.90566"
"7.90000","0.77906","14.74021"
"8.00000","0.77920","14.73317"
