Specimen properties : Specimen label,"orgn_80_NA_2_wblk_3ptbnd_run3"
Maximum Load : Flexure extension at Maximum Load,"1.57921",in
Maximum Load : Maximum Load,"129.29661",lbf

Time,Extension,Load
(s),(in),(lbf)
"0.00000","0.79618","14.97959"
"0.10000","0.79671","14.88366"
"0.20000","0.79691","14.88718"
"0.30000","0.79699","14.85726"
"0.40000","0.79703","14.77805"
"0.50000","0.79707","14.82030"
"0.60000","0.79710","14.83086"
"0.70000","0.79716","14.31953"
"0.80000","0.79724","14.93207"
"0.90000","0.79733","14.63372"
"1.00000","0.79745","14.42338"
"1.10000","0.79758","14.53075"
"1.20000","0.79770","14.36354"
"1.30000","0.79783","14.60380"
"1.40000","0.79796","14.42603"
"1.50000","0.79809","14.87838"
"1.60000","0.79823","14.53515"
"1.70000","0.79836","14.77805"
"1.80000","0.79848","14.44451"
"1.90000","0.79862","14.82558"
"2.00000","0.79875","14.73845"
"2.10000","0.79890","14.66452"
"2.20000","0.79903","14.44802"
"2.30000","0.79916","14.32658"
"2.40000","0.79929","14.56772"
"2.50000","0.79943","14.60116"
"2.60000","0.79955","14.89863"
"2.70000","0.79968","14.72349"
"2.80000","0.79982","14.46211"
"2.90000","0.79994","14.80710"
"3.00000","0.80008","14.60644"
"3.10000","0.80020","14.68741"
"3.20000","0.80032","14.64076"
"3.30000","0.80046","14.43923"
"3.40000","0.80059","14.31073"
"3.50000","0.80073","14.32130"
"3.60000","0.80087","14.48587"
"3.70000","0.80100","14.53427"
"3.80000","0.80113","14.43747"
"3.90000","0.80127","14.55804"
"4.00000","0.80140","14.72349"
"4.10000","0.80152","15.02095"
"4.20000","0.80166","14.16640"
"4.30000","0.80179","14.88894"
"4.40000","0.80193","14.64076"
"4.50000","0.80206","14.79653"
"4.60000","0.80217","15.11160"
"4.70000","0.80230","14.56420"
"4.80000","0.80243","14.71381"
"4.90000","0.80257","14.81678"
"5.00000","0.80269","14.79565"
"5.10000","0.80284","14.80005"
"5.20000","0.80296","14.54220"
"5.30000","0.80309","15.13624"
"5.40000","0.80323","14.82646"
"5.50000","0.80335","14.82998"
"5.60000","0.80349","14.57388"
"5.70000","0.80362","14.76309"
"5.80000","0.80376","14.93911"
"5.90000","0.80390","14.51579"
"6.00000","0.80402","14.79037"
"6.10000","0.80415","14.44979"
"6.20000","0.80428","14.95495"
