Specimen properties : Specimen label,"orgn_80_NA_2_wblk_3ptbnd_run1"
Maximum Load : Flexure extension at Maximum Load,"1.50294",in
Maximum Load : Maximum Load,"131.18347",lbf

Time,Extension,Load
(s),(in),(lbf)
"18.10000","0.74323","16.25570"
"18.20000","0.74337","16.43435"
"18.30000","0.74349","16.27418"
"18.40000","0.74362","16.62709"
"18.50000","0.74375","16.00663"
"18.60000","0.74389","16.49508"
"18.70000","0.74402","16.33666"
"18.80000","0.74414","16.87439"
"18.90000","0.74429","16.70805"
"19.00000","0.74442","17.11025"
"19.10000","0.74457","16.81454"
"19.20000","0.74469","16.70717"
"19.30000","0.74481","16.64997"
"19.40000","0.74495","16.66669"
"19.50000","0.74508","16.53732"
"19.60000","0.74521","16.51532"
"19.70000","0.74534","16.63677"
"19.80000","0.74546","16.64557"
"19.90000","0.74559","16.29442"
"20.00000","0.74573","16.95359"
"20.10000","0.74586","16.87615"
"20.20000","0.74598","17.09705"
"20.30000","0.74611","17.02136"
"20.40000","0.74625","16.89111"
"20.50000","0.74639","17.05392"
"20.60000","0.74653","16.71861"
"20.70000","0.74665","16.98967"
"20.80000","0.74679","17.01432"
"20.90000","0.74692","16.97647"
"21.00000","0.74706","16.85062"
"21.10000","0.74718","16.80486"
"21.20000","0.74731","16.88231"
"21.30000","0.74744","17.21233"
"21.40000","0.74757","16.80222"
"21.50000","0.74770","16.89551"
"21.60000","0.74782","17.09353"
"21.70000","0.74795","17.07064"
"21.80000","0.74809","17.07504"
"21.90000","0.74822","16.77846"
"22.00000","0.74836","16.71509"
"22.10000","0.74848","17.25458"
"22.20000","0.74860","17.03456"
"22.30000","0.74875","17.05744"
"22.40000","0.74888","16.73798"
"22.50000","0.74901","17.22026"
"22.60000","0.74914","17.27482"
"22.70000","0.74928","16.71861"
"22.80000","0.74940","16.94303"
"22.90000","0.74953","17.01256"
"23.00000","0.74966","17.13489"
"23.10000","0.74978","17.02840"
"23.20000","0.74992","17.18329"
"23.30000","0.75005","17.30650"
"23.40000","0.75017","16.79430"
"23.50000","0.75031","17.08297"
"23.60000","0.75044","17.35755"
"23.70000","0.75057","16.99055"
"23.80000","0.75071","17.39187"
"23.90000","0.75085","17.08824"
"24.00000","0.75097","17.02488"
"24.10000","0.75110","17.49308"
"24.20000","0.75124","17.23082"
"24.30000","0.75137","17.00552"
"24.40000","0.75151","17.38307"
"24.50000","0.75163","17.56348"
"24.60000","0.75177","17.13049"
"24.70000","0.75189","17.25458"
"24.80000","0.75201","17.27482"
"24.90000","0.75215","17.29770"
"25.00000","0.75228","16.94743"
"25.10000","0.75241","17.30034"
"25.20000","0.75254","17.76326"
"25.30000","0.75268","17.21410"
"25.40000","0.75280","17.73422"
"25.50000","0.75294","17.56788"
"25.60000","0.75308","17.48340"
"25.70000","0.75321","17.79054"
"25.80000","0.75335","17.57316"
"25.90000","0.75347","17.34787"
"26.00000","0.75361","17.47283"
"26.10000","0.75375","17.47812"
"26.20000","0.75388","17.77558"
"26.30000","0.75400","17.30210"
"26.40000","0.75413","17.38923"
"26.50000","0.75426","17.75798"
"26.60000","0.75439","17.37163"
"26.70000","0.75453","17.46755"
"26.80000","0.75465","17.95952"
"26.90000","0.75478","17.99560"
"27.00000","0.75492","17.84775"
"27.10000","0.75504","17.54236"
"27.20000","0.75519","17.82662"
"27.30000","0.75532","17.97712"
"27.40000","0.75545","17.80550"
"27.50000","0.75558","17.55908"
"27.60000","0.75571","17.70782"
"27.70000","0.75584","18.05280"
"27.80000","0.75597","17.83103"
"27.90000","0.75610","17.63741"
"28.00000","0.75622","18.03696"
"28.10000","0.75635","18.35907"
"28.20000","0.75648","17.89087"
"28.30000","0.75660","18.07216"
"28.40000","0.75674","18.16457"
"28.50000","0.75687","17.92871"
"28.60000","0.75700","17.56525"
"28.70000","0.75715","17.53356"
"28.80000","0.75727","18.07216"
"28.90000","0.75741","18.13817"
"29.00000","0.75755","17.76150"
"29.10000","0.75768","17.94631"
"29.20000","0.75781","18.05192"
"29.30000","0.75795","17.91639"
"29.40000","0.75807","18.02288"
"29.50000","0.75820","17.93399"
"29.60000","0.75834","18.15313"
"29.70000","0.75846","17.66117"
"29.80000","0.75859","18.12145"
"29.90000","0.75872","18.10649"
"30.00000","0.75884","18.10561"
"30.10000","0.75898","17.70694"
"30.20000","0.75910","18.09417"
"30.30000","0.75924","18.27810"
"30.40000","0.75937","18.26050"
"30.50000","0.75951","18.12849"
"30.60000","0.75964","18.19714"
"30.70000","0.75978","18.24114"
"30.80000","0.75991","18.04136"
"30.90000","0.76003","18.64333"
"31.00000","0.76018","18.00176"
"31.10000","0.76030","18.37139"
"31.20000","0.76043","17.42355"
"31.30000","0.76056","18.31683"
"31.40000","0.76070","17.87591"
"31.50000","0.76082","18.43299"
"31.60000","0.76094","18.34851"
"31.70000","0.76107","17.96656"
"31.80000","0.76119","18.15841"
"31.90000","0.76135","18.56588"
"32.00000","0.76148","18.20330"
"32.10000","0.76160","18.55884"
"32.20000","0.76174","18.52628"
"32.30000","0.76187","18.47612"
"32.40000","0.76201","18.22530"
"32.50000","0.76214","18.40747"
"32.60000","0.76227","18.62837"
"32.70000","0.76240","18.25170"
"32.80000","0.76255","18.58437"
"32.90000","0.76267","18.51308"
