strain,stress
0,0.2583
0.000962025,0.5954
0.000844237,1.1135
0.000881589,1.6628
0.00106486,2.2226
0.001501963,2.7727
0.00212433,3.3181
0.002791713,3.852
0.003491277,4.382
0.004186106,4.9038
0.004923956,5.4174
0.005559221,5.923
0.006207196,6.4196
0.006981558,6.9093
0.007629595,7.3861
0.008378816,7.8532
0.008947757,8.3128
0.00965919,8.763
0.010364143,9.2066
0.010972897,9.636
0.011706199,10.058
0.012353707,10.4689
0.012994143,10.8685
0.01370324,11.2557
0.014355358,11.6335
0.015057414,12.0029
0.015588692,12.3611
0.016344517,12.7099
0.017000218,13.0471
0.017618318,13.3753
0.018367726,13.691
0.018979626,13.9971
0.019674486,14.2924
0.020288598,14.5817
0.021028193,14.8605
0.021596885,15.1283
0.022319907,15.3892
0.022994174,15.6407
0.023666044,15.8801
0.024388629,16.1096
0.024998629,16.3295
0.025645701,16.54
0.026355483,16.7401
0.02701704,16.9338
0.027720062,17.1158
0.028341184,17.2919
0.029037196,17.4551
0.029778255,17.6112
0.030427819,17.7586
0.031178474,17.9031
0.031826137,18.0364
0.03257134,18.1659
0.033247944,18.2912
0.033984984,18.4099
0.034633302,18.5234
0.035472056,18.6277
0.036096511,18.7286
0.03692215,18.8238
0.037626106,18.9131
0.038289782,18.9999
0.039099844,19.0764
0.039823364,19.1525
0.040671433,19.2211
0.041356542,19.2868
0.042085794,19.3473
0.042938162,19.4085
0.043690561,19.464
0.044493333,19.5153
0.045367196,19.5629
0.046143614,19.6078
0.047025389,19.6482
0.047819595,19.6841
0.048675981,19.7185
0.049453956,19.7491
0.050357695,19.7801
0.051249626,19.8081
0.052106636,19.8325
0.053058069,19.8559
0.053893988,19.8769
0.054803084,19.8955
0.055653801,19.9105
0.056529938,19.9256
0.057441153,19.9416
0.058376231,19.9541
0.059286636,19.9667
0.060193489,19.9778
0.06102891,19.9891
0.062088941,19.9964
0.06286162,20.0048
0.063918505,20.0111
0.064728598,20.0174
0.065703894,20.0251
0.066656044,20.0305
0.067658723,20.0367
0.068600249,20.0414
0.069561464,20.0454
0.070567477,20.0461
0.071414299,20.0505
0.072430467,20.0546
0.073328193,20.0564
0.074350405,20.0604
0.075258598,20.0629
0.076249097,20.0663
0.077235296,20.0675
0.078168785,20.068
0.079150156,20.068
0.080137072,20.0708
0.081084922,20.0722
0.082079875,20.0738
0.083010997,20.0761
0.084064704,20.0772
0.084984953,20.0765
0.085956449,20.0762
0.086911651,20.0766
0.087820717,20.0782
0.088932025,20.0788
0.089821121,20.0804
0.090846449,20.0803
0.091930561,20.0821
0.092819844,20.0803
0.093934517,20.0789
0.094839159,20.0767
0.095791433,20.0756
0.096729907,20.0726
0.097799377,20.0637
